sample	pop	spp	region	contgroup	country
Debug013_aegypti_Bundibugyo_Uganda_10	Bundibugyo	AAF	East Africa	Eafrica	Uganda
Debug013_aegypti_Bundibugyo_Uganda_11	Bundibugyo	AAF	East Africa	Eafrica	Uganda
Debug013_aegypti_Bundibugyo_Uganda_36	Bundibugyo	AAF	East Africa	Eafrica	Uganda
Debug013_aegypti_Bundibugyo_Uganda_37	Bundibugyo	AAF	East Africa	Eafrica	Uganda
Debug013_aegypti_Kichwamba_Uganda_01	Kichwamba	AAF	East Africa	Eafrica	Uganda
Debug013_aegypti_Kichwamba_Uganda_02	Kichwamba	AAF	East Africa	Eafrica	Uganda
Debug013_aegypti_Kichwamba_Uganda_03	Kichwamba	AAF	East Africa	Eafrica	Uganda
Debug013_aegypti_Kichwamba_Uganda_07	Kichwamba	AAF	East Africa	Eafrica	Uganda
Debug013_aegypti_Kichwamba_Uganda_09	Kichwamba	AAF	East Africa	Eafrica	Uganda
Debug014_aegypti_Kichwamba_Uganda_15	Kichwamba	AAF	East Africa	Eafrica	Uganda
Debug014_aegypti_Kichwamba_Uganda_17	Kichwamba	AAF	East Africa	Eafrica	Uganda
Debug014_aegypti_Kichwamba_Uganda_18	Kichwamba	AAF	East Africa	Eafrica	Uganda
Debug017_aegypti_Libreville_Gabon_F_10	Libreville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Libreville_Gabon_F_11	Libreville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Libreville_Gabon_F_12	Libreville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Libreville_Gabon_F_14	Libreville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Libreville_Gabon_F_15	Libreville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Libreville_Gabon_F_2	Libreville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Libreville_Gabon_F_3	Libreville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Libreville_Gabon_F_4	Libreville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Libreville_Gabon_F_5	Libreville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Libreville_Gabon_F_6	Libreville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Libreville_Gabon_F_7	Libreville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Libreville_Gabon_F_8	Libreville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Libreville_Gabon_M_13	Libreville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_Libreville_Gabon_M_9	Libreville	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_LopeVillage_Gabon_F_15	Lope_village	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_LopeVillage_Gabon_F_1	Lope_village	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_LopeVillage_Gabon_F_2	Lope_village	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_LopeVillage_Gabon_F_3	Lope_village	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_LopeVillage_Gabon_F_4	Lope_village	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_LopeVillage_Gabon_F_5	Lope_village	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_LopeVillage_Gabon_F_6	Lope_village	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_LopeVillage_Gabon_F_7	Lope_village	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_LopeVillage_Gabon_F_8	Lope_village	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_LopeVillage_Gabon_F_9	Lope_village	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_LopeVillage_Gabon_M_10	Lope_village	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_LopeVillage_Gabon_M_11	Lope_village	AAF	West Africa	Wafrica	Gabon
Debug017_aegypti_LopeVillage_Gabon_M_12	Lope_village	AAF	West Africa	Wafrica	Gabon
