Estimate	Std. Error	z value	Pr(>|z|)	var	inv	vars	converged
0	0	-1.5902124384724	0.111786927706733	abslat	X1_global_1	abslat + mintemp	TRUE
0	0	-1.21013610185321	0.226226672142947	mintemp	X1_global_1	abslat + mintemp	TRUE
0	0	-2.6348489228889	0.00841747392945011	(Intercept)	X1_global_1	abslat	TRUE
0	0	-1.01210228960122	0.311489147775838	abslat	X1_global_1	abslat	TRUE
0	10	-0.516253875142772	0.605677106646888	(Intercept)	X1_PuertoRico_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.956004717476322	0.339069851125281	abslat	X1_PuertoRico_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.587683864292284	0.556744508087852	popdens	X1_PuertoRico_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.131972634973478	0.895005936527299	maxtemp	X1_PuertoRico_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.185804918914782	0.852597746971084	mintemp	X1_PuertoRico_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.531623080221901	0.594987076127246	precipitation	X1_PuertoRico_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.25490852370738	0.798793752731445	precseason	X1_PuertoRico_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.750349908705209	0.453043991190237	tempseason	X1_PuertoRico_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-3.787	6.5174	-0.581063868881609	0.561197408730485	(Intercept)	X1_PuertoRico_1	abslat + popdens + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.97651353063406	0.328810046050731	abslat	X1_PuertoRico_1	abslat + popdens + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.581048534540885	0.561207743256166	popdens	X1_PuertoRico_1	abslat + popdens + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.132869446128966	0.894296631071959	mintemp	X1_PuertoRico_1	abslat + popdens + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.55038895094285	0.58205262544471	precipitation	X1_PuertoRico_1	abslat + popdens + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.223227184225695	0.823358695733582	precseason	X1_PuertoRico_1	abslat + popdens + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.735520954580753	0.462022283010075	tempseason	X1_PuertoRico_1	abslat + popdens + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-1.15465606783343	0.248231296709688	(Intercept)	X1_PuertoRico_1	abslat + popdens + precipitation + precseason + tempseason	TRUE
0	0	0.988571803039197	0.322872687639033	abslat	X1_PuertoRico_1	abslat + popdens + precipitation + precseason + tempseason	TRUE
0	0	-0.588696469278052	0.556064906812434	popdens	X1_PuertoRico_1	abslat + popdens + precipitation + precseason + tempseason	TRUE
0	0	0.584457644673579	0.558912453605662	precipitation	X1_PuertoRico_1	abslat + popdens + precipitation + precseason + tempseason	TRUE
0	0	-0.220240682242779	0.825683714527866	precseason	X1_PuertoRico_1	abslat + popdens + precipitation + precseason + tempseason	TRUE
0	0	-0.820793529828119	0.411763884659272	tempseason	X1_PuertoRico_1	abslat + popdens + precipitation + precseason + tempseason	TRUE
