Estimate	Std. Error	z value	Pr(>|z|)	var	inv	vars	converged
-1.85	0.82	-2.26575459738707	0.0234664126557252	(Intercept)	X1_global_1	precipitation	TRUE
0	0	-0.436564835404326	0.662426969484989	precipitation	X1_global_1	precipitation	TRUE
-3.7994	7.2064	-0.527219783721416	0.598040971675729	(Intercept)	X1_PuertoRico_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.65660728827326	0.511433461337137	popdens	X1_PuertoRico_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.265871240071324	0.790338375241649	maxtemp	X1_PuertoRico_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.353323512763323	0.723845920191785	mintemp	X1_PuertoRico_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.757140040670717	0.448965967624341	precipitation	X1_PuertoRico_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.528061864180362	0.597456398613226	precseason	X1_PuertoRico_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.360718852864219	0.718309629743553	tempseason	X1_PuertoRico_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-2.4801	5.0266	-0.493398654397942	0.621730932958421	(Intercept)	X1_PuertoRico_1	popdens + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.63492059416309	0.525480204799101	popdens	X1_PuertoRico_1	popdens + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.238659469492793	0.811369647279706	mintemp	X1_PuertoRico_1	popdens + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.754801124271864	0.450368319212896	precipitation	X1_PuertoRico_1	popdens + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.472071929985042	0.636875447423344	precseason	X1_PuertoRico_1	popdens + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.240913448272834	0.809622198863394	tempseason	X1_PuertoRico_1	popdens + mintemp + precipitation + precseason + tempseason	TRUE
-3.4261	3.3432	-1.02478922602124	0.305462651145281	(Intercept)	X1_PuertoRico_1	popdens + precipitation + precseason + tempseason	TRUE
0	0	-0.647869057825897	0.517069645137194	popdens	X1_PuertoRico_1	popdens + precipitation + precseason + tempseason	TRUE
0	0	0.764595440114933	0.444512485275442	precipitation	X1_PuertoRico_1	popdens + precipitation + precseason + tempseason	TRUE
0	0	-0.522219029463339	0.601517838036614	precseason	X1_PuertoRico_1	popdens + precipitation + precseason + tempseason	TRUE
0	0	-0.0885742898315067	0.929420241498071	tempseason	X1_PuertoRico_1	popdens + precipitation + precseason + tempseason	TRUE
-3.5734	2.8829	-1.23950788639672	0.215157469992848	(Intercept)	X1_PuertoRico_1	popdens + precipitation + precseason	TRUE
0	0	-0.645655861129109	0.518502251803781	popdens	X1_PuertoRico_1	popdens + precipitation + precseason	TRUE
0	0	0.872175667407648	0.383112551696289	precipitation	X1_PuertoRico_1	popdens + precipitation + precseason	TRUE
0	0	-0.525760509713777	0.599054615619189	precseason	X1_PuertoRico_1	popdens + precipitation + precseason	TRUE
0	0	-2.42582106310708	0.0152737989680594	(Intercept)	X1_PuertoRico_1	popdens + precipitation	TRUE
0	0	-0.681362699498912	0.495642018827233	popdens	X1_PuertoRico_1	popdens + precipitation	TRUE
0	0	1.10246181032119	0.270260952512947	precipitation	X1_PuertoRico_1	popdens + precipitation	TRUE
0	0	-2.60060300738539	0.00930600762162193	(Intercept)	X1_PuertoRico_1	precipitation	TRUE
0	0	0.988448185235832	0.322933198763154	precipitation	X1_PuertoRico_1	precipitation	TRUE
0	10	-0.740497641710937	0.458998091609531	(Intercept)	X1_PuertoRico_3	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.147865285669893	0.882449085016738	popdens	X1_PuertoRico_3	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.507804622456272	0.611590367758756	maxtemp	X1_PuertoRico_3	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.331368541945441	0.740366123763759	mintemp	X1_PuertoRico_3	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.189241846926922	0.84990327106737	precipitation	X1_PuertoRico_3	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.896923013073137	0.369759999198759	precseason	X1_PuertoRico_3	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.307152445782369	0.758727339787087	tempseason	X1_PuertoRico_3	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-4.127	5.604	-0.736358802455547	0.461512369342617	(Intercept)	X1_PuertoRico_3	maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.494092313542176	0.621240986055454	maxtemp	X1_PuertoRico_3	maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.313355702837429	0.75401043467189	mintemp	X1_PuertoRico_3	maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.197763733941046	0.84322992184216	precipitation	X1_PuertoRico_3	maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
