sample	hap	accession	pop	spp	region	contgroup	country
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-12	H235	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-12_0	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-12	H168	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-12_1	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-13	H460	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-13_0	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-13	H048	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-13_1	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-15	H113	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-15_1	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-15	H046	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-15_0	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-16	H277	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-16_1	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-16	H557	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-16_0	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-17	H527	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-17_0	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-17	H432	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-17_1	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-18	H060	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-18_0	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-18	H046	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-18_1	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-2	H048	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-2_0	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-2	H121	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-2_1	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-20	H572	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-20_1	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-20	H318	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-20_0	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-23	H092	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-23_1	LaLope	AAF	West Africa	Wafrica	Gabon
